Date, Open, High, Low, Close, Volume
09/04/23, 24.90, 26.00, 24.00, 25.95, 231800
09/01/23, 24.90, 24.90, 24.30, 24.60, 400
08/31/23, 26.00, 26.00, 24.30, 24.90, 800
08/30/23, 25.95, 26.00, 25.95, 26.00, 9600
08/29/23, 25.00, 26.00, 24.00, 25.95, 32000
08/28/23, 24.00, 25.95, 24.00, 24.30, 3800
08/25/23, 25.50, 26.00, 25.50, 25.75, 600
08/24/23, 25.00, 25.90, 25.00, 25.20, 7000
08/23/23, 25.00, 26.00, 25.00, 26.00, 937200
08/22/23, 25.00, 25.25, 25.00, 25.00, 46000
08/21/23, 24.50, 25.00, 23.00, 24.60, 41800
08/18/23, 25.00, 25.00, 24.80, 24.90, 2300
08/17/23, 25.00, 25.50, 25.00, 25.40, 11600
08/16/23, 25.00, 25.00, 25.00, 25.00, 3100
08/15/23, 25.50, 25.50, 25.00, 25.15, 4300
08/14/23, 26.00, 26.00, 25.00, 25.25, 5700
08/11/23, 27.50, 27.50, 26.00, 27.00, 6200
08/10/23, 25.20, 26.00, 25.05, 26.00, 1003600
08/09/23, 26.00, 27.00, 26.00, 26.15, 7900
08/08/23, 26.00, 26.00, 25.00, 25.05, 2300
08/07/23, 26.00, 26.00, 26.00, 26.00, 10000
08/03/23, 26.00, 26.00, 26.00, 26.00, 3300
08/02/23, 26.00, 26.00, 25.70, 26.00, 4700
08/01/23, 25.05, 25.20, 25.05, 25.15, 9900
07/31/23, 25.05, 25.05, 24.10, 24.90, 8100
07/28/23, 25.05, 25.05, 24.50, 24.95, 8700
07/27/23, 26.00, 26.00, 25.00, 25.00, 1095100
07/26/23, 26.50, 26.50, 26.00, 26.05, 900
07/25/23, 26.00, 26.00, 26.00, 26.00, 2600
07/24/23, 25.50, 26.00, 25.00, 25.15, 1400
07/21/23, 26.00, 26.00, 24.90, 25.20, 4700
07/20/23, 26.00, 26.00, 26.00, 26.00, 5000
07/19/23, 26.50, 26.50, 26.00, 26.25, 2800
07/18/23, 26.50, 26.50, 26.00, 26.05, 16300
07/17/23, 26.00, 26.50, 25.95, 26.05, 4100
07/14/23, 25.80, 25.95, 25.50, 25.85, 2400
07/13/23, 25.95, 25.95, 25.10, 25.25, 6100
07/12/23, 25.90, 25.90, 25.10, 25.30, 4100
07/11/23, 26.00, 26.00, 25.50, 25.60, 1500
07/10/23, 25.90, 26.45, 25.50, 25.65, 2600
07/07/23, 25.00, 26.50, 25.00, 25.90, 1200
07/06/23, 26.50, 26.50, 26.00, 26.40, 6300
07/05/23, 26.00, 26.40, 26.00, 26.05, 1500
07/04/23, 26.00, 26.40, 26.00, 26.05, 1600
07/03/23, 26.00, 26.00, 26.00, 26.00, 900
06/30/23, 25.90, 25.90, 24.30, 25.20, 300
06/29/23, 25.00, 26.00, 25.00, 25.05, 22200
06/27/23, 26.40, 26.40, 25.00, 25.40, 4200
06/26/23, 26.40, 26.40, 26.40, 26.40, 100
06/23/23, 25.00, 26.00, 24.60, 25.00, 23000
06/22/23, 24.95, 25.45, 24.95, 25.00, 27800
06/21/23, 25.50, 25.50, 25.30, 25.50, 3300
06/20/23, 26.00, 26.40, 25.45, 25.95, 28500
06/19/23, 26.75, 26.75, 26.40, 26.50, 600
06/16/23, 26.80, 26.80, 26.75, 26.80, 200
06/15/23, 27.00, 27.00, 27.00, 27.00, 1000
06/14/23, 26.30, 27.00, 26.30, 26.80, 1000
06/13/23, 26.20, 26.30, 26.00, 26.05, 4400
06/12/23, 26.30, 26.50, 26.00, 26.20, 2500
06/09/23, 24.30, 26.30, 24.30, 25.35, 7000
06/08/23, 24.10, 24.60, 24.00, 24.00, 115400
06/07/23, 27.00, 27.00, 24.10, 24.30, 7700
06/06/23, 25.00, 25.00, 24.50, 24.75, 8300
06/05/23, 25.35, 25.35, 25.00, 25.20, 1600
06/02/23, 26.00, 26.00, 24.05, 25.35, 900
05/31/23, 25.50, 25.50, 24.50, 25.20, 2200
05/30/23, 26.00, 26.00, 25.50, 26.00, 4200
05/29/23, 26.30, 26.30, 24.00, 26.00, 6100
05/26/23, 26.30, 26.50, 26.00, 26.20, 3200
05/25/23, 26.30, 26.30, 26.30, 26.30, 3900
05/24/23, 24.00, 24.00, 23.85, 24.00, 14500
05/23/23, 24.00, 24.50, 23.00, 23.85, 22200
05/22/23, 24.00, 24.50, 23.00, 23.40, 4300
05/19/23, 24.50, 24.50, 24.00, 24.00, 21900
05/18/23, 24.00, 25.00, 23.00, 23.25, 8500
05/17/23, 24.00, 25.00, 24.00, 24.00, 36000
05/16/23, 24.00, 24.00, 23.90, 24.00, 30400
05/15/23, 24.00, 24.00, 24.00, 24.00, 68900
05/12/23, 26.30, 26.30, 23.65, 24.50, 9800
05/11/23, 26.30, 26.30, 24.00, 24.55, 56700
05/10/23, 24.40, 24.50, 24.40, 24.45, 7900
05/09/23, 24.00, 24.00, 24.00, 24.00, 5100
05/08/23, 23.50, 24.40, 23.05, 23.35, 30500
05/05/23, 23.50, 24.40, 23.50, 23.75, 16300
05/04/23, 24.50, 24.50, 23.50, 24.10, 23500
05/03/23, 24.25, 24.75, 24.25, 24.35, 8000
05/02/23, 24.00, 24.75, 23.00, 23.95, 8400
04/28/23, 27.70, 27.70, 22.40, 24.05, 103300
04/27/23, 28.00, 28.00, 28.00, 28.00, 9500
04/26/23, 28.50, 28.50, 27.00, 27.80, 46400
04/25/23, 28.10, 29.90, 28.10, 28.50, 3700
04/24/23, 27.95, 29.90, 27.95, 28.40, 1700
04/20/23, 27.95, 28.00, 27.95, 27.95, 600
04/19/23, 28.00, 28.00, 27.95, 28.00, 5900
04/18/23, 28.00, 28.00, 27.95, 28.00, 15400
04/17/23, 28.00, 29.95, 28.00, 28.00, 17700
04/14/23, 30.00, 30.00, 28.00, 28.20, 37300
04/13/23, 28.00, 30.00, 28.00, 29.65, 7200
04/12/23, 29.80, 30.00, 29.80, 29.95, 300
04/11/23, 30.00, 30.50, 30.00, 30.40, 2300
04/06/23, 28.05, 30.00, 27.95, 30.00, 3508400
04/05/23, 28.00, 28.00, 28.00, 28.00, 30600
04/04/23, 28.50, 28.50, 27.50, 27.95, 6600
04/03/23, 28.50, 28.50, 28.50, 28.50, 1400
03/31/23, 29.00, 29.00, 28.00, 28.05, 4300
03/30/23, 28.00, 28.00, 27.95, 28.00, 1700
03/29/23, 28.00, 28.00, 28.00, 28.00, 4700
03/28/23, 27.95, 27.95, 27.75, 27.90, 1600
03/27/23, 28.00, 28.00, 27.75, 27.85, 1600
03/24/23, 28.00, 28.00, 28.00, 28.00, 400
03/23/23, 28.00, 28.00, 27.00, 27.20, 5000
03/22/23, 28.00, 28.00, 28.00, 28.00, 700
03/21/23, 26.50, 29.00, 26.00, 27.45, 14600
03/20/23, 27.50, 27.50, 26.50, 26.75, 1900
03/17/23, 28.00, 28.00, 27.50, 27.75, 3700
03/16/23, 29.00, 29.00, 27.00, 27.50, 27300
03/15/23, 29.00, 29.00, 28.00, 28.40, 3100
03/14/23, 28.80, 29.00, 28.50, 28.95, 8200
03/13/23, 28.40, 28.80, 28.40, 28.50, 1700
03/10/23, 28.40, 28.40, 28.00, 28.05, 2600
03/09/23, 27.90, 28.20, 27.90, 27.90, 14600
03/08/23, 28.20, 28.20, 28.00, 28.05, 4800
03/07/23, 29.50, 29.50, 28.05, 28.15, 6700
03/06/23, 28.00, 29.60, 28.00, 29.20, 400
03/03/23, 27.50, 28.00, 27.40, 27.55, 5200
03/02/23, 27.50, 28.00, 27.40, 27.45, 3200
03/01/23, 28.00, 28.00, 27.50, 27.65, 1200
02/28/23, 27.45, 28.00, 27.30, 27.50, 178000
02/27/23, 27.45, 28.00, 27.00, 27.00, 134000
02/24/23, 27.00, 27.45, 26.60, 27.00, 2987300
02/23/23, 27.50, 27.50, 27.00, 27.10, 3200
02/22/23, 27.40, 27.40, 27.00, 27.05, 8000
02/21/23, 27.45, 27.45, 27.25, 27.40, 4400
02/20/23, 28.45, 28.45, 27.00, 27.25, 9400
02/17/23, 27.50, 28.90, 27.35, 27.90, 5400
02/16/23, 27.35, 28.50, 27.35, 28.45, 3300
02/15/23, 28.90, 28.90, 26.50, 27.35, 10000
02/14/23, 28.60, 28.90, 28.55, 28.85, 2300
02/13/23, 28.90, 29.20, 28.55, 28.90, 900
02/10/23, 29.00, 29.30, 27.75, 28.25, 7500
02/09/23, 28.65, 28.95, 28.50, 28.80, 1100
02/08/23, 28.95, 28.95, 28.95, 28.95, 1600
02/07/23, 28.60, 28.95, 28.05, 28.65, 2500
02/06/23, 29.45, 29.50, 28.50, 28.60, 14900
02/03/23, 29.50, 29.50, 28.50, 29.10, 2800
02/02/23, 29.10, 29.50, 28.60, 29.20, 10300
02/01/23, 29.00, 29.25, 28.70, 29.10, 5000
01/31/23, 29.45, 29.45, 28.55, 29.00, 7400
01/30/23, 29.50, 29.70, 29.00, 29.45, 16700
01/27/23, 29.50, 29.50, 29.40, 29.50, 2900
01/26/23, 29.50, 29.90, 28.65, 29.20, 8000
01/25/23, 30.00, 30.00, 29.40, 29.65, 4200
01/24/23, 30.25, 30.25, 29.50, 30.00, 6400
01/23/23, 30.40, 30.40, 28.55, 30.10, 11900
01/20/23, 30.00, 30.40, 30.00, 30.40, 7900
01/19/23, 30.40, 30.40, 30.40, 30.40, 1200
01/18/23, 30.90, 30.90, 30.20, 30.45, 1300
01/17/23, 30.95, 30.95, 29.20, 29.70, 14800
01/16/23, 29.50, 30.90, 29.50, 29.90, 3800
