Date, Open, High, Low, Close, Volume
09/14/23, 190.00, 190.00, 190.00, 190.00, 12900
09/13/23, 192.75, 195.00, 192.75, 193.75, 8900
09/12/23, 185.00, 190.00, 177.00, 188.50, 56300
09/08/23, 176.00, 176.00, 175.25, 175.75, 400
09/06/23, 175.00, 175.00, 175.00, 175.00, 100
09/05/23, 177.00, 177.00, 174.00, 176.25, 900
09/04/23, 176.00, 176.00, 176.00, 176.00, 2700
09/01/23, 178.00, 178.00, 176.00, 176.00, 25100
08/31/23, 172.25, 178.00, 172.25, 175.25, 200
08/30/23, 172.00, 172.25, 172.00, 172.25, 20300
08/29/23, 172.25, 172.25, 172.25, 172.25, 16400
08/25/23, 172.25, 172.25, 172.25, 172.25, 5400
08/24/23, 172.00, 172.00, 172.00, 172.00, 8400
08/18/23, 170.00, 170.00, 170.00, 170.00, 2600
08/17/23, 172.00, 180.00, 172.00, 179.00, 2300
08/16/23, 185.00, 190.00, 185.00, 189.75, 46300
08/15/23, 185.50, 185.50, 171.00, 182.75, 8100
08/14/23, 189.25, 189.25, 185.50, 187.25, 700
08/07/23, 187.00, 190.00, 185.00, 189.25, 32300
08/04/23, 187.75, 187.75, 185.50, 186.25, 600
08/03/23, 188.00, 188.00, 188.00, 188.00, 100
08/02/23, 184.00, 184.00, 184.00, 184.00, 3600
08/01/23, 184.00, 184.00, 184.00, 184.00, 5000
07/28/23, 185.50, 185.50, 185.00, 185.00, 7000
07/27/23, 186.00, 189.50, 185.50, 186.75, 800
07/25/23, 186.00, 186.00, 185.75, 186.00, 600
07/21/23, 185.25, 185.25, 185.25, 185.25, 1700
07/20/23, 185.00, 185.00, 185.00, 185.00, 200
07/19/23, 190.00, 190.00, 185.00, 189.00, 10800
07/18/23, 185.75, 189.75, 185.75, 189.50, 19600
07/17/23, 185.00, 190.00, 185.00, 185.75, 800
07/14/23, 190.00, 192.00, 189.00, 190.00, 1400
07/13/23, 189.50, 192.00, 189.50, 189.75, 2300
07/11/23, 189.00, 190.00, 189.00, 189.50, 200
07/06/23, 189.00, 189.00, 189.00, 189.00, 1000
07/05/23, 184.25, 184.25, 180.25, 181.25, 400
06/30/23, 180.00, 180.00, 180.00, 180.00, 1000
06/29/23, 181.00, 181.00, 180.00, 180.25, 2800
06/27/23, 181.00, 181.00, 181.00, 181.00, 1000
06/26/23, 180.00, 180.00, 180.00, 180.00, 4000
06/23/23, 180.00, 180.00, 180.00, 180.00, 37600
06/22/23, 170.00, 170.00, 170.00, 170.00, 100
06/21/23, 170.00, 170.00, 170.00, 170.00, 500
06/15/23, 188.00, 188.00, 180.00, 184.25, 300
06/14/23, 190.00, 190.00, 188.75, 189.25, 3900
06/13/23, 190.00, 190.00, 187.00, 190.00, 4000
06/12/23, 189.00, 189.00, 187.00, 188.75, 1400
06/09/23, 187.00, 190.00, 187.00, 187.50, 3300
06/08/23, 185.00, 187.00, 185.00, 186.50, 2600
06/07/23, 187.00, 187.00, 180.00, 181.50, 2500
06/06/23, 187.00, 187.00, 187.00, 187.00, 200
06/02/23, 180.00, 180.00, 178.00, 180.00, 14400
05/31/23, 185.00, 187.00, 178.00, 183.50, 1900
05/30/23, 180.00, 180.00, 178.00, 178.00, 24100
05/26/23, 178.00, 178.00, 178.00, 178.00, 12700
05/25/23, 180.00, 180.00, 175.00, 177.50, 200
05/24/23, 180.00, 180.00, 180.00, 180.00, 1100
05/23/23, 173.00, 173.00, 173.00, 173.00, 100
05/19/23, 179.75, 179.75, 179.75, 179.75, 800
05/18/23, 179.75, 179.75, 179.75, 179.75, 100
05/17/23, 180.00, 180.00, 171.00, 179.75, 13200
05/16/23, 178.00, 180.00, 178.00, 179.75, 2200
05/12/23, 180.00, 180.00, 180.00, 180.00, 500
05/10/23, 180.00, 181.00, 180.00, 180.00, 3800
05/09/23, 181.00, 181.00, 181.00, 181.00, 7600
05/08/23, 181.00, 181.00, 181.00, 181.00, 100
05/04/23, 185.00, 198.00, 181.00, 185.75, 3100
05/03/23, 181.00, 181.00, 181.00, 181.00, 200
04/28/23, 180.00, 180.00, 180.00, 180.00, 1300
