Date, Open, High, Low, Close, Volume
11/01/23, 8.52, 9.00, 8.42, 8.56, 48600
10/31/23, 8.42, 9.02, 8.42, 8.98, 24600
10/30/23, 9.00, 9.00, 8.52, 8.68, 24700
10/27/23, 8.50, 9.00, 8.50, 8.74, 21100
10/26/23, 8.50, 8.56, 8.40, 8.50, 26700
10/25/23, 8.50, 8.56, 8.42, 8.44, 8500
10/24/23, 8.56, 8.56, 8.50, 8.56, 38200
10/23/23, 9.00, 9.00, 8.50, 8.92, 35100
10/19/23, 8.98, 9.00, 8.60, 8.98, 33300
10/18/23, 9.00, 9.00, 8.80, 8.98, 26500
10/17/23, 8.96, 9.00, 8.60, 8.96, 27100
10/16/23, 8.60, 9.50, 8.50, 8.98, 29200
10/13/23, 8.90, 8.90, 8.80, 8.86, 35300
10/12/23, 8.90, 9.30, 8.80, 8.80, 36000
10/11/23, 9.50, 9.50, 9.00, 9.00, 818900
10/09/23, 9.00, 9.50, 9.00, 9.44, 39500
10/06/23, 9.28, 9.28, 9.00, 9.04, 11700
10/05/23, 9.00, 9.28, 9.00, 9.06, 12000
10/04/23, 9.08, 9.08, 9.00, 9.00, 86800
10/03/23, 9.10, 9.10, 9.00, 9.08, 7100
10/02/23, 9.10, 9.40, 9.00, 9.00, 855300
09/29/23, 9.00, 9.50, 8.88, 9.00, 8700
09/28/23, 9.10, 9.10, 9.00, 9.00, 1800
09/27/23, 9.10, 9.50, 9.00, 9.14, 3500
09/26/23, 9.10, 10.00, 9.10, 9.28, 14600
09/25/23, 9.00, 9.28, 9.00, 9.12, 500
09/22/23, 9.00, 9.00, 8.80, 9.00, 162700
09/21/23, 9.00, 9.26, 9.00, 9.00, 2003100
09/20/23, 9.00, 9.00, 8.88, 8.90, 520300
09/19/23, 8.90, 9.00, 8.90, 8.90, 92500
09/18/23, 8.80, 8.90, 8.80, 8.88, 31100
09/15/23, 8.90, 8.90, 8.80, 8.82, 71500
09/14/23, 8.90, 8.90, 8.86, 8.86, 33200
09/13/23, 9.00, 9.00, 8.80, 8.86, 41700
09/12/23, 8.70, 9.00, 8.70, 8.94, 27800
09/11/23, 8.90, 9.28, 8.70, 8.82, 4800
09/08/23, 9.00, 9.00, 8.80, 8.86, 60200
09/07/23, 8.90, 9.00, 8.80, 9.00, 28700
09/06/23, 9.00, 9.00, 9.00, 9.00, 200
09/05/23, 8.96, 9.00, 8.96, 9.00, 22300
09/04/23, 8.80, 9.00, 8.72, 8.80, 987900
09/01/23, 9.00, 9.00, 8.80, 8.96, 34000
08/31/23, 9.00, 9.00, 8.90, 9.00, 29200
08/30/23, 9.16, 9.16, 8.80, 9.00, 23500
08/29/23, 8.90, 8.98, 8.60, 8.84, 9500
08/28/23, 8.60, 9.08, 8.60, 8.70, 3500
08/25/23, 8.50, 9.00, 8.50, 8.90, 29200
08/24/23, 8.98, 9.00, 8.60, 8.98, 23600
08/23/23, 8.98, 9.00, 8.70, 8.86, 119100
08/22/23, 8.70, 9.00, 8.70, 8.98, 23900
08/21/23, 8.80, 8.82, 8.52, 8.78, 61300
08/18/23, 9.00, 9.00, 8.80, 8.80, 23800
08/17/23, 8.80, 9.00, 8.80, 8.82, 33100
08/16/23, 9.00, 9.00, 8.80, 8.86, 31400
08/15/23, 9.20, 9.20, 8.50, 9.00, 99400
08/14/23, 9.20, 9.20, 9.00, 9.16, 77200
08/11/23, 9.14, 9.30, 9.14, 9.28, 35000
08/10/23, 9.20, 9.20, 9.14, 9.20, 661900
08/09/23, 9.28, 9.30, 9.12, 9.16, 157300
08/08/23, 9.12, 9.28, 9.10, 9.12, 38200
08/07/23, 9.28, 9.30, 9.12, 9.18, 2600
08/04/23, 9.10, 9.20, 9.10, 9.10, 18300
08/03/23, 9.06, 9.10, 8.62, 9.00, 48000
