Date, Open, High, Low, Close, Volume
08/22/23, 3.20, 3.25, 3.20, 3.21, 1000
08/18/23, 3.25, 3.25, 3.25, 3.25, 1800
08/17/23, 4.00, 4.00, 3.60, 3.61, 21400
08/16/23, 4.00, 4.00, 4.00, 4.00, 100
08/15/23, 3.82, 3.82, 3.82, 3.82, 400
08/09/23, 4.24, 4.24, 4.24, 4.24, 200
08/04/23, 5.00, 5.00, 4.50, 4.70, 500
07/28/23, 5.00, 5.00, 5.00, 5.00, 600
07/20/23, 5.16, 5.16, 5.16, 5.16, 200
07/19/23, 5.16, 5.16, 5.16, 5.16, 500
07/18/23, 5.10, 5.60, 5.10, 5.36, 2000
07/17/23, 5.16, 5.16, 5.16, 5.16, 200
07/14/23, 5.16, 5.16, 5.16, 5.16, 100
07/13/23, 5.20, 5.20, 5.00, 5.10, 400
07/12/23, 5.10, 5.20, 5.10, 5.18, 3100
07/11/23, 5.10, 5.10, 5.10, 5.10, 300
07/10/23, 5.10, 5.60, 5.10, 5.18, 1400
07/07/23, 5.10, 5.10, 5.10, 5.10, 300
07/06/23, 4.42, 4.85, 4.42, 4.67, 1200
07/05/23, 4.40, 4.65, 4.40, 4.42, 1600
07/04/23, 4.25, 4.25, 4.25, 4.25, 100
07/03/23, 3.57, 4.25, 3.57, 4.00, 800
06/30/23, 3.57, 3.93, 3.57, 3.91, 1600
06/29/23, 3.57, 3.57, 3.57, 3.57, 100
06/27/23, 3.57, 3.57, 3.57, 3.57, 300
06/26/23, 3.25, 3.25, 3.25, 3.25, 100
06/23/23, 3.35, 3.35, 3.35, 3.35, 100
06/22/23, 3.35, 3.35, 3.35, 3.35, 400
06/21/23, 3.35, 3.35, 3.35, 3.35, 200
06/19/23, 3.70, 3.70, 3.70, 3.70, 100
06/15/23, 3.70, 3.70, 3.70, 3.70, 500
06/13/23, 3.57, 3.60, 3.27, 3.37, 13000
06/12/23, 3.57, 3.57, 3.30, 3.44, 400
06/09/23, 3.10, 3.30, 3.10, 3.27, 6000
06/07/23, 3.00, 3.29, 3.00, 3.05, 600
06/06/23, 3.00, 3.00, 3.00, 3.00, 70000
06/05/23, 3.00, 3.00, 3.00, 3.00, 2400
06/02/23, 3.00, 3.00, 3.00, 3.00, 1700
05/31/23, 3.00, 3.00, 3.00, 3.00, 4400
05/30/23, 2.75, 2.75, 2.75, 2.75, 1000
05/29/23, 2.55, 2.55, 2.55, 2.55, 2700
05/26/23, 2.52, 2.52, 2.52, 2.52, 300
05/25/23, 2.80, 2.80, 2.80, 2.80, 21500
05/24/23, 2.85, 2.90, 2.50, 2.84, 20700
05/23/23, 2.70, 2.70, 2.70, 2.70, 15200
05/19/23, 2.85, 2.85, 2.70, 2.71, 3400
05/17/23, 2.85, 2.85, 2.85, 2.85, 700
05/16/23, 3.00, 3.00, 2.70, 2.85, 1400
05/12/23, 3.00, 3.00, 3.00, 3.00, 100
05/11/23, 3.20, 3.20, 2.91, 3.09, 800
05/10/23, 3.20, 3.20, 3.20, 3.20, 200
05/08/23, 2.91, 3.20, 2.91, 3.02, 1300
05/05/23, 2.85, 3.00, 2.85, 2.91, 10300
05/04/23, 2.95, 2.95, 2.95, 2.95, 400
05/03/23, 2.73, 2.73, 2.73, 2.73, 700
05/02/23, 2.51, 2.60, 2.40, 2.49, 1400
04/27/23, 2.50, 2.80, 2.50, 2.51, 31500
04/26/23, 2.66, 2.66, 2.50, 2.55, 300
04/25/23, 2.66, 2.66, 2.66, 2.66, 900
04/19/23, 2.90, 2.90, 2.65, 2.66, 6900
04/18/23, 2.65, 2.65, 2.65, 2.65, 2100
04/13/23, 2.64, 2.90, 2.64, 2.65, 14800
04/12/23, 2.62, 2.64, 2.62, 2.64, 5000
04/11/23, 2.64, 2.64, 2.62, 2.64, 400
04/06/23, 2.60, 2.64, 2.40, 2.62, 18300
04/05/23, 2.40, 2.40, 2.40, 2.40, 2000
03/30/23, 2.60, 2.60, 2.60, 2.60, 5000
03/27/23, 2.80, 2.80, 2.50, 2.62, 500
03/24/23, 2.80, 2.80, 2.50, 2.75, 1300
03/23/23, 2.59, 2.59, 2.58, 2.58, 17900
03/21/23, 2.59, 2.59, 2.59, 2.59, 100
03/17/23, 2.73, 2.73, 2.65, 2.68, 6600
03/16/23, 2.89, 2.89, 2.89, 2.89, 800
03/15/23, 2.73, 2.73, 2.73, 2.73, 200
03/14/23, 2.60, 2.70, 2.60, 2.68, 400
